original_summary,finetuned_summary,reference_summary,original_rouge1,original_rouge2,original_rougeL,original_rougeLsum,finetuned_rouge1,finetuned_rouge2,finetuned_rougeL,finetuned_rougeLsum
Zully Broussard.,"The transplant of a kidney donor to a stranger has been a huge success, but the transplant is still a huge success.","Zully Broussard decided to give a kidney to a stranger .
A new computer program helped her donation spur transplants for six kidney patients .",0.18647456213170355,0.05167592630123461,0.14599432721861988,0.1643046379238954,0.2201708150956731,0.04096838480803657,0.16134511051515477,0.18440087670415412
"ESPN's MLS team has been a key player in the MLS's history, and the MLS has been a key player in the MLS's history.",The MLS's first season in the US has been a defining moment for the sport.,"The 20th MLS season begins this weekend .
League has changed dramatically since its inception in 1996 .
Some question whether rules regarding salary caps and transfers need to change .",0.18647456213170355,0.05167592630123461,0.14599432721861988,0.1643046379238954,0.2201708150956731,0.04096838480803657,0.16134511051515477,0.18440087670415412
Swansea re-signed him in January.,"Swansea City have confirmed that they have a ""serious"" condition after a 1-0 defeat by France in the Champions League.","Bafetimbi Gomis collapses within 10 minutes of kickoff at Tottenham .
But he reportedly left the pitch conscious and wearing an oxygen mask .
Gomis later said that he was ""feeling well""
The incident came three years after Fabrice Muamba collapsed at White Hart Lane .",0.18647456213170355,0.05167592630123461,0.14599432721861988,0.1643046379238954,0.2201708150956731,0.04096838480803657,0.16134511051515477,0.18440087670415412
Ryan Holmes scored a 71 to finish the day three shots off the pace at six-under.,Rory McIlroy has defended his decision to retire from golf after a second round of the US Open.,"Rory McIlroy throws club into water at WGC Cadillac Championship .
Northern Irishman frustrated after pulling shot into water hazard .",0.18647456213170355,0.05167592630123461,0.14599432721861988,0.1643046379238954,0.2201708150956731,0.04096838480803657,0.16134511051515477,0.18440087670415412
"Cayman Naib, and if you read this please know that you are forgiven for everything, and I mean everything, you have everything.""",A search for a missing teenager who went missing in the US has been launched by a group of volunteers.,"Cayman Naib, 13, hasn't been heard from since Wednesday .
Police, family, volunteers search for eighth-grader .",0.18647456213170355,0.05167592630123461,0.14599432721861988,0.1643046379238954,0.2201708150956731,0.04096838480803657,0.16134511051515477,0.18440087670415412
"Gabby Schilling, who was a student disc jockey at the University of New Jersey.",The sex of a teenager who was a sex offender has been a slap on Twitter.,"Ruben Navarrette: Schilling deserves praise for taking on online haters for offensive comments about his daughter .
Navarrette: In protecting his child, Schilling set a model for parenting and taught us a lesson about social media .",0.18647456213170355,0.05167592630123461,0.14599432721861988,0.1643046379238954,0.2201708150956731,0.04096838480803657,0.16134511051515477,0.18440087670415412
Egypt is a tourist destination.,A Russian tourist has been arrested in Rome for allegedly stealing a Russian passport and a coin from a wall in the ancient city of Colosseum.,"Two American women arrested for carving initials into a Colosseum wall .
Meanwhile, Egypt investigating Russian pornography film reportedly shot at Great Pyramids .
Cambodia's Angkor Archeological Park experienced a string of nudity-related incidents this year .",0.18647456213170355,0.05167592630123461,0.14599432721861988,0.1643046379238954,0.2201708150956731,0.04096838480803657,0.16134511051515477,0.18440087670415412
Prince and 3rdEyeGirl are bringing the Hit & Run Tour to the U.S. for the first time.,The first concert in the US has been announced in the US.,"It will be a first time for the tour stateside .
First show will be in Louisville, Kentucky .",0.18647456213170355,0.05167592630123461,0.14599432721861988,0.1643046379238954,0.2201708150956731,0.04096838480803657,0.16134511051515477,0.18440087670415412
"A French and Belgian attack on a bar in Mali on Saturday killed five people, including French and Belgian citizens, authorities said.","A French government has said it is ""not intimidated"" by the Mali government after a gun attack on a bar in the capital, Bamako.","A jihadist group claims responsibility in an audio recording, news agency reports .
The Malian government calls the shooting a ""terrorist act""
One French citizen, one Belgian and three Malians are killed .",0.18647456213170355,0.05167592630123461,0.14599432721861988,0.1643046379238954,0.2201708150956731,0.04096838480803657,0.16134511051515477,0.18440087670415412
Papiss Cisse is a very good player and he's a good player.,A footballer has been charged with spitting at a referee in the wake of a alleged spit at a football referee.,"Alleged incident happened in match at St James' Park .
Players face six-match ban if found guilty .
Evans denied spitting in statement .
Cisse statement says: ""I let you down""",0.18647456213170355,0.05167592630123461,0.14599432721861988,0.1643046379238954,0.2201708150956731,0.04096838480803657,0.16134511051515477,0.18440087670415412
